index,expected,solver,result,correct,model_valid,wall_sec,user_sec,sys_sec,rss_kb,exit_code,url
9,sat,ver4,error,0,1,1000.33,1000.12,0.13,43896,0,http://benchmark-database.de/file/2d0c041c0fe72dc32527bfbf34f63e61
10,unsat,ver4,unsat,1,1,89.18,89.08,0.10,57908,20,http://benchmark-database.de/file/3197b65ef50328394a0c9e73281d7122
11,sat,ver4,error,0,1,1001.76,1000.46,0.15,38320,0,http://benchmark-database.de/file/3bfa92996634d2ddc6c0568bba9a0f99
12,unsat,ver4,error,0,1,1000.78,1000.34,0.33,336600,0,http://benchmark-database.de/file/3c129545f090ef08b6ef89a2903ff83e
13,sat,ver4,error,0,1,1000.28,1000.09,0.10,48168,0,http://benchmark-database.de/file/465795fa2641c616ce76de8501672a19
14,unsat,ver4,unsat,1,1,92.72,92.48,0.14,128776,20,http://benchmark-database.de/file/47f5872181a581dff34eb33123fe3242
15,sat,ver4,error,0,1,1009.67,1006.47,3.07,6657652,0,http://benchmark-database.de/file/4d6e18e506b7e62d3f32cc775219be24
16,unsat,ver4,error,0,1,1000.71,1000.33,0.27,430080,0,http://benchmark-database.de/file/5314fd6ccb53b6f6af49a594ea68a273
17,sat,ver4,error,0,1,1000.69,1000.29,0.18,58988,0,http://benchmark-database.de/file/59fc779feee4390b57502814d424e0d6
18,unsat,ver4,unsat,1,1,1.21,1.15,0.08,18044,20,http://benchmark-database.de/file/5c24cfeff639fefdead9a5641f65fa22
19,sat,ver4,error,0,1,1009.22,1006.75,2.31,7162128,0,http://benchmark-database.de/file/6415a71364351c0a521fdee510bc2589
20,unsat,ver4,error,0,1,1001.84,1000.57,0.22,334568,0,http://benchmark-database.de/file/65f7145996bbec02b90bd0fa64a20502
21,sat,ver4,sat,1,1,0.10,0.05,0.07,18132,10,http://benchmark-database.de/file/69f6dd335626a9b71bfc6f2332f52b9d
22,unsat,ver4,error,0,1,1000.40,1000.18,0.13,39652,0,http://benchmark-database.de/file/6fab31665147f538da92dc16c3a239ad
23,sat,ver4,error,0,1,1007.82,1005.45,2.21,6605376,0,http://benchmark-database.de/file/753757e87d34bd1075c413d801bf99b8
24,unsat,ver4,error,0,1,1000.54,1000.13,0.31,137092,0,http://benchmark-database.de/file/7bdf3e5401cc263951003b569bcd689c
25,sat,ver4,error,0,1,1000.59,1000.33,0.14,74068,0,http://benchmark-database.de/file/7e58b502cc9dbef5f76d5161fb9a09b2
26,sat,ver4,sat,1,1,712.80,712.19,0.43,930716,10,http://benchmark-database.de/file/88849daabda2e712f659c6edbc142229
27,unsat,ver4,error,0,1,1000.38,1000.12,0.17,63028,0,http://benchmark-database.de/file/8b267f95678c90b2179944de7233b090
28,sat,ver4,error,0,1,1000.42,1000.17,0.16,96416,0,http://benchmark-database.de/file/931621d9964e9d0cd1c4001822015c92
29,unsat,ver4,unsat,1,1,48.87,48.73,0.10,22140,20,http://benchmark-database.de/file/965bc4f6691b2e5f7388aaa9ba68f768
30,unsat,ver4,error,0,1,1000.39,1000.13,0.14,33648,0,http://benchmark-database.de/file/99718c1729a8de3347a9946f1836421d
31,sat,ver4,sat,1,1,47.40,47.34,0.07,22708,10,http://benchmark-database.de/file/9b998be0c639d06988c4902eb125c0b7
32,unsat,ver4,unsat,1,1,232.03,230.51,0.12,113848,20,http://benchmark-database.de/file/a1fdd60d2570f47fb14956ac9e96951f
33,sat,ver4,error,0,1,1000.52,1000.24,0.18,232724,0,http://benchmark-database.de/file/a2ca167a8fdbf165f40b5d6dee94b040
34,unsat,ver4,error,0,1,1002.86,1002.05,0.66,2434392,0,http://benchmark-database.de/file/ad69e0a0880cd377e26260f7e4bc6d51
35,sat,ver4,sat,1,1,188.01,187.60,0.09,55864,10,http://benchmark-database.de/file/b3d3680b3287a989ce61a6db1054efd2
36,sat,ver4,error,0,1,1000.57,1000.31,0.14,48828,0,http://benchmark-database.de/file/c0074020a48535e6062421cea2850dd0
37,unsat,ver4,error,0,1,1000.74,1000.41,0.17,52676,0,http://benchmark-database.de/file/c0e828fb967fc4f0935cf06c6a6b1055
38,sat,ver4,error,0,1,1000.74,1000.40,0.16,40424,0,http://benchmark-database.de/file/ca3c65a863526793968fc30618a42709
39,sat,ver4,sat,1,1,395.41,394.96,0.35,725624,10,http://benchmark-database.de/file/d2af3fde615d7c4d4a4574fc8839970e
40,unsat,ver4,error,0,1,1000.55,1000.14,0.33,599176,0,http://benchmark-database.de/file/d3e4e0f01836bb359725c6aa5072afce
41,unsat,ver4,error,0,1,1001.23,1000.50,0.40,748060,0,http://benchmark-database.de/file/d88a8a62342be0ef04bd3b429f311352
42,unsat,ver4,error,0,1,1003.13,1002.19,0.81,873460,0,http://benchmark-database.de/file/de8988028668791f35a7b9f94353b5b9
43,sat,ver4,sat,1,1,160.78,160.67,0.10,35348,10,http://benchmark-database.de/file/e318e2ac78b473091c3c2197afd7fc98
44,unsat,ver4,error,0,1,1002.76,1000.35,0.26,347868,0,http://benchmark-database.de/file/ebbda8d90dfd9b6500bf932f952907a6
45,sat,ver4,error,0,1,1000.29,1000.06,0.14,54268,0,http://benchmark-database.de/file/ed6d842f96d10f3400bce251f9e95bfb
46,sat,ver4,error,0,1,1000.86,1000.63,0.13,42008,0,http://benchmark-database.de/file/f33a6163305d6559043b7438a692dea9
47,unsat,ver4,error,0,1,1003.25,1001.94,1.02,2115840,0,http://benchmark-database.de/file/f6a085f3c728e53f57542e62df20e56b
48,sat,ver4,error,0,1,1000.73,1000.41,0.20,273420,0,http://benchmark-database.de/file/fae6cf26f3da1e7d8fc4926a9ca86b61
49,unsat,ver4,error,0,1,1000.74,1000.52,0.11,52652,0,http://benchmark-database.de/file/fea0f926e766ccba7c7dc261084ecbd0
