index,expected,solver,result,correct,model_valid,wall_sec,user_sec,sys_sec,rss_kb,exit_code,hash,url
71,sat,ver5,timeout,0,1,1000.75,1000.30,0.24,280960,0,98e8aa2ace21d3362ef51524ad546764,https://benchmark-database.de/file/98e8aa2ace21d3362ef51524ad546764?context=cnf
72,unsat,ver5,unsat,1,1,7.15,7.09,0.08,18304,20,09cd83e233380d0ba1fc56cee88367b1,https://benchmark-database.de/file/09cd83e233380d0ba1fc56cee88367b1?context=cnf
73,sat,ver5,sat,1,1,320.43,320.19,0.14,43888,10,c21096fa2f550785c33dc862d83bc941,https://benchmark-database.de/file/c21096fa2f550785c33dc862d83bc941?context=cnf
74,unsat,ver5,timeout,0,1,1000.81,1000.26,0.33,373192,0,35748015c5f16c9ee7e4d1894af497a0,https://benchmark-database.de/file/35748015c5f16c9ee7e4d1894af497a0?context=cnf
75,sat,ver5,sat,1,1,87.53,86.60,0.86,1782712,10,e9f6eb5654365bb115e6d96405ea9a76,https://benchmark-database.de/file/e9f6eb5654365bb115e6d96405ea9a76?context=cnf
76,unsat,ver5,timeout,0,1,1000.74,1000.26,0.35,372428,0,f626408ec204fd8e1a7924d0e59672e9,https://benchmark-database.de/file/f626408ec204fd8e1a7924d0e59672e9?context=cnf
77,unsat,ver5,timeout,0,1,1000.77,1000.48,0.14,98840,0,b99ba7e9113280393c64863dfbfa2c3b,https://benchmark-database.de/file/b99ba7e9113280393c64863dfbfa2c3b?context=cnf
78,sat,ver5,timeout,0,1,1001.31,1001.10,0.13,82016,0,7a044c997ede14d00002f1db39d45170,https://benchmark-database.de/file/7a044c997ede14d00002f1db39d45170?context=cnf
79,sat,ver5,sat,1,1,16.23,16.01,0.14,125432,10,9dcbf221b8d2bb01f30bcca283f3608d,https://benchmark-database.de/file/9dcbf221b8d2bb01f30bcca283f3608d?context=cnf
80,sat,ver5,sat,1,1,20.21,20.12,0.10,55340,10,602c8a200227ab9d64d855164d35b5cf,https://benchmark-database.de/file/602c8a200227ab9d64d855164d35b5cf?context=cnf
81,sat,ver5,timeout,0,1,1002.02,1001.03,0.65,1547912,0,ac3887576c2ce781202b9fe0fdc31420,https://benchmark-database.de/file/ac3887576c2ce781202b9fe0fdc31420?context=cnf
82,unsat,ver5,timeout,0,1,1000.98,1000.53,0.30,399020,0,0f269188707a1b2f309dd1c70bfe22b0,https://benchmark-database.de/file/0f269188707a1b2f309dd1c70bfe22b0?context=cnf
83,unsat,ver5,timeout,0,1,1001.25,1000.88,0.19,114280,0,51482a5b06b055edfdca576d654ce191,https://benchmark-database.de/file/51482a5b06b055edfdca576d654ce191?context=cnf
84,unsat,ver5,unsat,1,1,0.11,0.06,0.07,18328,20,f6f91f6a44c3953b788c026cbbaa4e91,https://benchmark-database.de/file/f6f91f6a44c3953b788c026cbbaa4e91?context=cnf
85,unsat,ver5,timeout,0,1,1000.71,1000.18,0.30,314000,0,062f58e44eb73f9274b57af5092cad90,https://benchmark-database.de/file/062f58e44eb73f9274b57af5092cad90?context=cnf
86,sat,ver5,timeout,0,1,1001.19,1000.93,0.16,62100,0,84282cd481f7614f444951064c707030,https://benchmark-database.de/file/84282cd481f7614f444951064c707030?context=cnf
87,unsat,ver5,timeout,0,1,1001.12,1000.59,0.35,560032,0,18d4124324b56e434118f9ef72198d84,https://benchmark-database.de/file/18d4124324b56e434118f9ef72198d84?context=cnf
88,unsat,ver5,unsat,1,1,961.35,960.98,0.22,133096,20,b361efe85442bd535849708e2b7ac639,https://benchmark-database.de/file/b361efe85442bd535849708e2b7ac639?context=cnf
89,sat,ver5,timeout,0,1,1007.37,1004.29,2.89,4836408,0,2b4467a5ac4ac41b36d4c3432b07f767,https://benchmark-database.de/file/2b4467a5ac4ac41b36d4c3432b07f767?context=cnf
90,unsat,ver5,timeout,0,1,1000.46,1000.16,0.21,82104,0,e12874b16df577b301608d03731595d8,https://benchmark-database.de/file/e12874b16df577b301608d03731595d8?context=cnf
91,sat,ver5,timeout,0,1,1007.89,1003.35,3.59,3991480,0,032941f5f28c9ac53fa1c80d35f3206f,https://benchmark-database.de/file/032941f5f28c9ac53fa1c80d35f3206f?context=cnf
92,sat,ver5,sat,1,1,4.03,3.92,0.12,62556,10,c86b261162cef181dc513963a8acb77f,https://benchmark-database.de/file/c86b261162cef181dc513963a8acb77f?context=cnf
93,sat,ver5,timeout,0,1,1001.14,1000.28,0.62,606180,0,cbd0933002d6c4ea99ceb47bb0c3f4c9,https://benchmark-database.de/file/cbd0933002d6c4ea99ceb47bb0c3f4c9?context=cnf
94,unsat,ver5,unsat,1,1,415.86,415.73,0.10,58084,20,3f67f6767764855e516e5394be1145e5,https://benchmark-database.de/file/3f67f6767764855e516e5394be1145e5?context=cnf
95,unsat,ver5,unsat,1,1,0.16,0.04,0.08,17912,20,d971241ca861121371d20be1d61c15a3,https://benchmark-database.de/file/d971241ca861121371d20be1d61c15a3?context=cnf
96,sat,ver5,sat,1,1,59.10,58.80,0.29,637888,10,77bfac6b280653e63013f77d0991484e,https://benchmark-database.de/file/77bfac6b280653e63013f77d0991484e?context=cnf
97,sat,ver5,sat,1,1,557.53,557.22,0.14,48704,10,362d153b4162127bc42796180110f483,https://benchmark-database.de/file/362d153b4162127bc42796180110f483?context=cnf
98,sat,ver5,timeout,0,1,1000.71,1000.13,0.40,344784,0,3cda1cbfbcabfc71ece7961d4d6ad1bb,https://benchmark-database.de/file/3cda1cbfbcabfc71ece7961d4d6ad1bb?context=cnf
99,unsat,ver5,unsat,1,1,149.63,149.41,0.13,169548,20,9a839badecb20dcf505ec79eedd3753a,https://benchmark-database.de/file/9a839badecb20dcf505ec79eedd3753a?context=cnf
