index,source,expected,solver,result,correct,model_valid,wall_sec,user_sec,sys_sec,rss_kb,exit_code,hash,url
10,historical,unsat,minisat,unsat,1,1,53.01,52.93,0.08,36992,20,3197b65ef50328394a0c9e73281d7122,https://benchmark-database.de/file/3197b65ef50328394a0c9e73281d7122?context=cnf
11,historical,sat,minisat,sat,1,1,73.60,73.51,0.10,18044,10,3bfa92996634d2ddc6c0568bba9a0f99,https://benchmark-database.de/file/3bfa92996634d2ddc6c0568bba9a0f99?context=cnf
12,historical,unsat,minisat,error,0,1,1001.26,999.74,0.30,614512,0,3c129545f090ef08b6ef89a2903ff83e,https://benchmark-database.de/file/3c129545f090ef08b6ef89a2903ff83e?context=cnf
13,historical,sat,minisat,error,0,1,1000.07,999.56,0.42,177000,0,465795fa2641c616ce76de8501672a19,https://benchmark-database.de/file/465795fa2641c616ce76de8501672a19?context=cnf
14,historical,unsat,minisat,unsat,1,1,31.48,31.40,0.09,80956,20,47f5872181a581dff34eb33123fe3242,https://benchmark-database.de/file/47f5872181a581dff34eb33123fe3242?context=cnf
15,historical,sat,minisat,error,0,1,1000.39,998.54,1.64,4815424,0,4d6e18e506b7e62d3f32cc775219be24,https://benchmark-database.de/file/4d6e18e506b7e62d3f32cc775219be24?context=cnf
16,historical,unsat,minisat,error,0,1,1000.13,999.66,0.34,872360,0,5314fd6ccb53b6f6af49a594ea68a273,https://benchmark-database.de/file/5314fd6ccb53b6f6af49a594ea68a273?context=cnf
17,historical,sat,minisat,error,0,1,1000.10,999.85,0.16,55672,0,59fc779feee4390b57502814d424e0d6,https://benchmark-database.de/file/59fc779feee4390b57502814d424e0d6?context=cnf
18,historical,unsat,minisat,unsat,1,1,0.42,0.30,0.08,17676,20,5c24cfeff639fefdead9a5641f65fa22,https://benchmark-database.de/file/5c24cfeff639fefdead9a5641f65fa22?context=cnf
19,historical,sat,minisat,sat,1,1,117.21,115.43,1.77,5403344,10,6415a71364351c0a521fdee510bc2589,https://benchmark-database.de/file/6415a71364351c0a521fdee510bc2589?context=cnf
20,historical,unsat,minisat,error,0,1,1000.16,999.61,0.37,832232,0,65f7145996bbec02b90bd0fa64a20502,https://benchmark-database.de/file/65f7145996bbec02b90bd0fa64a20502?context=cnf
21,historical,sat,minisat,sat,1,1,0.16,0.05,0.08,17780,10,69f6dd335626a9b71bfc6f2332f52b9d,https://benchmark-database.de/file/69f6dd335626a9b71bfc6f2332f52b9d?context=cnf
22,historical,unsat,minisat,error,0,1,1000.09,999.90,0.12,68640,0,6fab31665147f538da92dc16c3a239ad,https://benchmark-database.de/file/6fab31665147f538da92dc16c3a239ad?context=cnf
23,historical,sat,minisat,sat,1,1,83.18,81.57,1.60,4983744,10,753757e87d34bd1075c413d801bf99b8,https://benchmark-database.de/file/753757e87d34bd1075c413d801bf99b8?context=cnf
24,historical,unsat,minisat,error,0,1,1000.20,999.41,0.59,382632,0,7bdf3e5401cc263951003b569bcd689c,https://benchmark-database.de/file/7bdf3e5401cc263951003b569bcd689c?context=cnf
25,historical,sat,minisat,error,0,1,1000.11,998.97,0.98,1172472,0,7e58b502cc9dbef5f76d5161fb9a09b2,https://benchmark-database.de/file/7e58b502cc9dbef5f76d5161fb9a09b2?context=cnf
26,historical,sat,minisat,sat,1,1,175.05,174.65,0.36,697204,10,88849daabda2e712f659c6edbc142229,https://benchmark-database.de/file/88849daabda2e712f659c6edbc142229?context=cnf
27,historical,unsat,minisat,error,0,1,1000.16,999.73,0.28,165684,0,8b267f95678c90b2179944de7233b090,https://benchmark-database.de/file/8b267f95678c90b2179944de7233b090?context=cnf
28,historical,sat,minisat,sat,1,1,216.64,216.47,0.15,114188,10,931621d9964e9d0cd1c4001822015c92,https://benchmark-database.de/file/931621d9964e9d0cd1c4001822015c92?context=cnf
29,historical,unsat,minisat,unsat,1,1,22.37,22.30,0.08,18044,20,965bc4f6691b2e5f7388aaa9ba68f768,https://benchmark-database.de/file/965bc4f6691b2e5f7388aaa9ba68f768?context=cnf
30,historical,unsat,minisat,error,0,1,1000.18,999.89,0.12,36304,0,99718c1729a8de3347a9946f1836421d,https://benchmark-database.de/file/99718c1729a8de3347a9946f1836421d?context=cnf
31,historical,sat,minisat,sat,1,1,128.79,128.72,0.06,26616,10,9b998be0c639d06988c4902eb125c0b7,https://benchmark-database.de/file/9b998be0c639d06988c4902eb125c0b7?context=cnf
32,historical,unsat,minisat,unsat,1,1,196.69,196.55,0.12,152548,20,a1fdd60d2570f47fb14956ac9e96951f,https://benchmark-database.de/file/a1fdd60d2570f47fb14956ac9e96951f?context=cnf
33,historical,sat,minisat,error,0,1,1000.18,999.57,0.42,1011348,0,a2ca167a8fdbf165f40b5d6dee94b040,https://benchmark-database.de/file/a2ca167a8fdbf165f40b5d6dee94b040?context=cnf
34,historical,unsat,minisat,error,0,1,1000.15,999.37,0.58,2122636,0,ad69e0a0880cd377e26260f7e4bc6d51,https://benchmark-database.de/file/ad69e0a0880cd377e26260f7e4bc6d51?context=cnf
35,historical,sat,minisat,error,0,1,1000.08,999.66,0.34,181812,0,b3d3680b3287a989ce61a6db1054efd2,https://benchmark-database.de/file/b3d3680b3287a989ce61a6db1054efd2?context=cnf
36,historical,sat,minisat,error,0,1,1000.90,999.77,0.23,132704,0,c0074020a48535e6062421cea2850dd0,https://benchmark-database.de/file/c0074020a48535e6062421cea2850dd0?context=cnf
37,historical,unsat,minisat,error,0,1,1000.11,999.87,0.11,24232,0,c0e828fb967fc4f0935cf06c6a6b1055,https://benchmark-database.de/file/c0e828fb967fc4f0935cf06c6a6b1055?context=cnf
38,historical,sat,minisat,error,0,1,1000.11,999.87,0.12,38272,0,ca3c65a863526793968fc30618a42709,https://benchmark-database.de/file/ca3c65a863526793968fc30618a42709?context=cnf
39,historical,sat,minisat,sat,1,1,101.15,100.77,0.25,428896,10,d2af3fde615d7c4d4a4574fc8839970e,https://benchmark-database.de/file/d2af3fde615d7c4d4a4574fc8839970e?context=cnf
40,historical,unsat,minisat,error,0,1,1000.13,999.61,0.43,1452360,0,d3e4e0f01836bb359725c6aa5072afce,https://benchmark-database.de/file/d3e4e0f01836bb359725c6aa5072afce?context=cnf
41,historical,unsat,minisat,error,0,1,1000.18,999.59,0.42,1716040,0,d88a8a62342be0ef04bd3b429f311352,https://benchmark-database.de/file/d88a8a62342be0ef04bd3b429f311352?context=cnf
42,historical,unsat,minisat,error,0,1,1001.27,999.66,0.36,1195372,0,de8988028668791f35a7b9f94353b5b9,https://benchmark-database.de/file/de8988028668791f35a7b9f94353b5b9?context=cnf
